"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
121,0.04,0,0,0,0.96
122,0.937,0,0,0,0.063
123,0.081,0,0.03,0.03,0.859
124,0.998,0,0,0,0.002
125,0.94,0,0,0.052,0.008
126,0.94,0,0,0.052,0.008
127,0.025,0,0.251,0.472,0.252
128,0.763,0,0,0.184,0.053
129,0.948,0,0,0,0.052
130,0.158,0,0.003,0,0.839
131,0.942,0,0,0,0.058
132,0.006,0,0.026,0.003,0.965
133,0.127,0,0,0,0.873
134,0.959,0,0,0,0.041
135,0.987,0,0,0.005,0.008
136,0.951,0,0,0,0.049
137,0.442,0,0,0.554,0.004
138,0.321,0,0,0,0.679
139,0.805,0,0,0.19,0.005
140,0.022,0,0.15,0.627,0.201
141,0.467,0,0.025,0.405,0.103
142,0.919,0,0,0.072,0.009
143,0.924,0,0,0,0.076
144,0.049,0,0,0,0.951
145,0.993,0,0,0,0.007
146,0.056,0,0.016,0.654,0.274
147,0.041,0,0,0,0.959
148,0.948,0,0,0,0.052
149,0.061,0,0,0,0.939
150,0.924,0,0,0,0.076
151,0.255,0,0,0,0.745
152,0.061,0,0.117,0.408,0.414
153,0.993,0,0,0,0.007
154,0.974,0,0,0.005,0.021
155,0.995,0,0,0.005,0
156,0.347,0,0.005,0.628,0.02
157,0.017,0,0.006,0,0.977
158,0.658,0,0,0.341,0.001
159,0.998,0,0,0,0.002
160,0.41,0,0,0.567,0.023
161,0.011,0,0.082,0.001,0.906
162,0.993,0,0,0.001,0.006
163,0.064,0,0,0,0.936
164,0.999,0,0,0.001,0
165,0.036,0,0.03,0.528,0.406
166,0.258,0,0,0.739,0.003
167,0.002,0,0.003,0,0.995
168,0.915,0,0,0.008,0.077
169,0.931,0,0,0.027,0.042
170,0.321,0,0,0,0.679
171,0.066,0,0.008,0.013,0.913
172,0.129,0,0,0,0.871
173,0.05,0,0,0,0.95
174,0.948,0,0,0,0.052
175,0.51,0,0.005,0.185,0.3
176,0.937,0,0,0,0.063
177,0.149,0,0,0.847,0.004
178,0.99,0,0,0,0.01
179,0.117,0,0,0.001,0.882
180,0.964,0,0,0,0.036
181,0.156,0,0,0.819,0.025
182,0.615,0,0.01,0.363,0.012
183,0.037,0.004,0.004,0,0.955
184,0.986,0,0,0,0.014
185,0.231,0,0,0.768,0.001
186,0.902,0,0,0.035,0.063
187,0.924,0,0,0,0.076
188,0.137,0,0,0,0.863
189,0.036,0,0.102,0.357,0.505
190,0.043,0,0,0,0.957
191,0.979,0,0,0,0.021
192,0.017,0,0.133,0.707,0.143
193,0.787,0,0,0,0.213
194,0.038,0,0,0,0.962
195,0.387,0,0,0,0.613
196,0.987,0,0,0.005,0.008
197,0.06,0,0.008,0.006,0.926
198,0.043,0,0,0,0.957
199,0.043,0,0,0,0.957
200,0.038,0,0,0,0.962
201,0.834,0,0.027,0.113,0.026
202,0.059,0.01,0.011,0.049,0.871
203,0.262,0,0.003,0.66,0.075
204,0,0,0,0,1
205,0.997,0,0,0,0.003
206,0.988,0,0,0,0.012
207,0.579,0,0,0.4,0.021
208,0.457,0,0,0.509,0.034
209,0.067,0,0,0,0.933
210,0.626,0,0.002,0.142,0.23
211,0.97,0,0,0,0.03
212,0.895,0,0.005,0.009,0.091
213,0.937,0,0,0,0.063
214,0.036,0,0,0,0.964
215,0.076,0.001,0.003,0,0.92
216,0.959,0,0,0,0.041
217,0.047,0,0,0,0.953
218,0.151,0,0.011,0.825,0.013
219,0.959,0,0,0,0.041
220,0.258,0,0,0.739,0.003
221,0.95,0,0,0.044,0.006
222,0.05,0,0,0,0.95
223,0.048,0,0.105,0.372,0.475
224,0.754,0,0,0,0.246
225,0.787,0,0,0,0.213
226,0.959,0,0,0,0.041
227,0.786,0,0,0.212,0.002
228,0.948,0,0,0,0.052
229,0.095,0,0.003,0.001,0.901
230,0.579,0,0.032,0.343,0.046
231,0.993,0,0,0,0.007
232,0.284,0,0.066,0.606,0.044
233,0.989,0,0,0,0.011
234,0.992,0,0,0.005,0.003
235,0.038,0,0,0,0.962
236,0.088,0,0.006,0.624,0.282
237,0.964,0,0,0.033,0.003
238,0.002,0,0,0,0.998
239,0.382,0,0,0.607,0.011
240,0.943,0,0.002,0.025,0.03
241,0.633,0,0,0,0.367
242,0.366,0,0.012,0.599,0.023
243,0.738,0,0.061,0.146,0.055
244,0.416,0,0,0.561,0.023
245,0.887,0,0.008,0.014,0.091
246,0.127,0,0,0,0.873
247,0.959,0,0,0,0.041
248,0.968,0,0,0,0.032
249,0.835,0,0.008,0.042,0.115
250,0.959,0,0,0,0.041
251,0.127,0,0,0,0.873
252,0.023,0.001,0.077,0.21,0.689
253,0.031,0,0,0,0.969
254,0.986,0,0,0.008,0.006
255,0.959,0,0,0,0.041
256,0.679,0,0,0.311,0.01
257,0.981,0,0,0.015,0.004
258,0.001,0,0,0,0.999
259,0.997,0,0,0.002,0.001
260,0.951,0,0,0,0.049
261,0.948,0,0,0,0.052
262,0.054,0,0.046,0.002,0.898
263,0.951,0,0,0,0.049
264,0.67,0,0.007,0.014,0.309
265,0.033,0,0,0,0.967
266,0.073,0,0.002,0.001,0.924
267,0.998,0,0,0.002,0
268,0.995,0,0,0,0.005
269,0.208,0,0,0.792,0
270,0.169,0,0,0.012,0.819
271,0.35,0,0.002,0.641,0.007
272,0.601,0,0,0.385,0.014
273,0.989,0,0,0,0.011
274,0.982,0,0,0.008,0.01
275,0.085,0,0.019,0.311,0.585
276,0.058,0,0,0,0.942
277,0.353,0,0.007,0.598,0.042
278,0.775,0,0.002,0.195,0.028
279,0.416,0,0,0.561,0.023
280,0.959,0,0,0,0.041
281,0.533,0,0.003,0.459,0.005
282,0.489,0,0.005,0.477,0.029
283,0.937,0,0,0,0.063
284,0.992,0,0,0.003,0.005
285,0.559,0,0,0.423,0.018
286,0.924,0,0,0,0.076
287,0.001,0,0,0,0.999
288,0.316,0,0,0.684,0
289,0.001,0,0,0,0.999
290,0.67,0,0.007,0.014,0.309
291,0.951,0,0,0,0.049
292,0.975,0,0,0.018,0.007
293,0.129,0,0,0,0.871
294,1,0,0,0,0
295,0.231,0,0,0.753,0.016
296,0.987,0,0,0.007,0.006
297,0.997,0,0,0,0.003
298,0.982,0,0,0.017,0.001
299,0.997,0,0,0.001,0.002
300,0.997,0,0,0.001,0.002
301,0.447,0,0,0.551,0.002
302,0.005,0,0,0,0.995
303,0.125,0,0.04,0.253,0.582
304,0.056,0,0.02,0.218,0.706
305,0.041,0,0,0,0.959
306,0.043,0,0,0,0.957
307,0.657,0,0,0.337,0.006
308,0.921,0,0,0.079,0
309,0.166,0,0,0.83,0.004
310,0.959,0,0.004,0.002,0.035
311,0.139,0.001,0.003,0.821,0.036
312,0.005,0,0,0,0.995
313,0.631,0,0.017,0.006,0.346
314,0.174,0,0,0.826,0
315,0.951,0,0,0,0.049
316,0.944,0,0.006,0.005,0.045
317,0.047,0,0,0,0.953
318,0.085,0.015,0.115,0.183,0.602
319,0.992,0,0,0.005,0.003
320,0.043,0,0,0,0.957
321,0.978,0,0,0.003,0.019
322,0.038,0,0,0,0.962
323,0.064,0,0,0,0.936
324,0.898,0,0.001,0.074,0.027
325,0.058,0,0,0,0.942
326,0.461,0,0,0.539,0
327,0.004,0,0.007,0,0.989
328,0.051,0,0,0,0.949
329,0.961,0,0,0.018,0.021
330,0.033,0,0,0,0.967
331,0.123,0,0.001,0.038,0.838
332,0.003,0,0.001,0.001,0.995
333,0.998,0,0,0,0.002
334,0.948,0,0,0,0.052
335,0.048,0,0,0,0.952
336,0.714,0,0,0.28,0.006
337,0.074,0,0,0,0.926
338,0.959,0,0,0,0.041
339,0.989,0,0,0.011,0
340,0.957,0,0.002,0.009,0.032
341,0.497,0,0,0.503,0
342,0.025,0,0.042,0.58,0.353
343,0.512,0,0,0.484,0.004
344,0.066,0,0,0,0.934
345,0.997,0,0,0,0.003
346,0.001,0,0,0,0.999
347,0.144,0,0,0.85,0.006
348,0.197,0,0,0.793,0.01
349,0.144,0,0,0.85,0.006
350,0.719,0,0.002,0.275,0.004
351,0.993,0,0,0.007,0
352,0.936,0,0,0,0.064
353,0.726,0,0.006,0.264,0.004
354,0.996,0,0,0,0.004
355,0.34,0,0.001,0.642,0.017
356,0.951,0,0,0,0.049
357,0.033,0,0,0,0.967
358,0.048,0,0.105,0.372,0.475
359,0.989,0,0,0.007,0.004
360,0.993,0,0,0.001,0.006
361,0.129,0,0,0,0.871
362,0.45,0,0,0.55,0
363,0.019,0,0,0,0.981
364,0.117,0,0,0.001,0.882
365,0.047,0,0,0,0.953
366,0.059,0,0.176,0.157,0.608
367,0.887,0,0.008,0.014,0.091
368,0.031,0,0,0,0.969
369,0.365,0,0,0.631,0.004
370,0.78,0,0.011,0.012,0.197
371,0.892,0,0,0.101,0.007
372,0.989,0,0,0.011,0
373,1,0,0,0,0
374,0.994,0,0,0,0.006
375,0.526,0,0.005,0.408,0.061
376,0.966,0,0,0.002,0.032
377,0.097,0,0,0.902,0.001
378,0.613,0,0,0,0.387
379,0.994,0,0,0.006,0
380,0.059,0,0,0.043,0.898
381,0.197,0,0,0.798,0.005
382,0.129,0,0,0.695,0.176
383,0.045,0,0.195,0.234,0.526
384,0.942,0,0,0,0.058
385,0.036,0,0.05,0.339,0.575
386,0.989,0,0,0.003,0.008
387,0.908,0,0,0.049,0.043
388,0.948,0,0,0,0.052
389,0.033,0,0,0,0.967
390,0.959,0,0,0,0.041
391,0.047,0,0,0,0.953
392,0.83,0,0,0.038,0.132
393,0.044,0,0.002,0,0.954
394,0.038,0,0,0,0.962
395,0.889,0,0.001,0.098,0.012
396,0.514,0,0.001,0.357,0.128
397,0.04,0,0,0,0.96
398,0.9,0,0,0.073,0.027
399,0.022,0,0.15,0.627,0.201
400,0.545,0,0.001,0.452,0.002
401,0.001,0,0,0,0.999
402,0.976,0,0.002,0.014,0.008
403,0.771,0,0.001,0.19,0.038
404,0.993,0,0,0,0.007
405,0.074,0,0,0,0.926
406,0.137,0,0,0,0.863
407,0.047,0,0,0,0.953
408,0.998,0,0,0.001,0.001
409,0.83,0,0,0.151,0.019
410,0.343,0,0,0.011,0.646
411,0.635,0,0,0.289,0.076
412,0.999,0,0,0,0.001
413,0.951,0,0,0,0.049
414,0.714,0,0.005,0.241,0.04
415,0.127,0,0,0,0.873
416,0.613,0,0,0,0.387
417,0.127,0,0,0,0.873
418,0.894,0,0.001,0.061,0.044
419,0.048,0,0.409,0.083,0.46
420,0.928,0,0,0.049,0.023
421,0.951,0,0,0,0.049
422,0.961,0,0,0,0.039
423,0.99,0,0,0.009,0.001
424,0.951,0,0,0,0.049
425,0.942,0,0,0,0.058
426,0.959,0,0,0,0.041
427,0.263,0,0.002,0.724,0.011
428,0.125,0,0,0.874,0.001
429,0.714,0,0,0.28,0.006
430,0.343,0,0,0,0.657
431,0.961,0,0,0.035,0.004
432,0.315,0,0.002,0.675,0.008
433,0.819,0,0,0.177,0.004
434,0.903,0,0.001,0.054,0.042
435,0.027,0,0,0,0.973
436,0.066,0,0,0,0.934
437,0.269,0,0.003,0.716,0.012
438,0.638,0,0.004,0.076,0.282
439,0.976,0,0,0.015,0.009
440,0.363,0,0,0.011,0.626
441,0.019,0,0.025,0.846,0.11
442,0.994,0,0,0,0.006
443,0.997,0,0,0.003,0
444,0.062,0.001,0.088,0.44,0.409
445,0.076,0,0.016,0.011,0.897
446,0.022,0,0.111,0.38,0.487
447,0.764,0,0,0.147,0.089
448,0.787,0,0,0,0.213
449,0.006,0,0,0,0.994
450,0.04,0,0,0,0.96
451,0.98,0,0,0.017,0.003
452,0.321,0,0,0,0.679
453,0.834,0,0.027,0.113,0.026
454,0.073,0,0.007,0.006,0.914
455,0.465,0,0,0.524,0.011
456,0.022,0,0.198,0.324,0.456
457,0.352,0,0,0,0.648
458,0.887,0,0.008,0.014,0.091
459,0.631,0,0.017,0.006,0.346
460,0.951,0,0,0,0.049
461,0.058,0,0,0,0.942
462,0.953,0,0,0.043,0.004
463,0.375,0,0,0.624,0.001
464,0.497,0,0.008,0.419,0.076
465,0.495,0,0.054,0.389,0.062
466,0.941,0,0,0.021,0.038
467,0.047,0,0,0,0.953
468,0.898,0,0,0.096,0.006
469,0.047,0,0,0,0.953
470,0.031,0,0,0,0.969
471,0.002,0,0,0,0.998
472,0.991,0,0,0,0.009
473,0.957,0,0,0.009,0.034
474,0.959,0,0,0,0.041
475,0.613,0,0,0.387,0
476,0.996,0,0,0,0.004
477,0.804,0,0.001,0.156,0.039
478,0.271,0,0,0.705,0.024
479,0.948,0,0,0,0.052
480,0.999,0,0,0.001,0
481,0.001,0,0,0,0.999
482,0.959,0,0,0,0.041
483,0.959,0,0,0,0.041
484,0.997,0,0,0,0.003
485,0.989,0,0,0.011,0
486,0.081,0,0.008,0.013,0.898
487,0.148,0,0.035,0.802,0.015
488,0.927,0,0,0.04,0.033
489,0.924,0,0,0,0.076
490,1,0,0,0,0
491,0.732,0,0,0.268,0
492,0.055,0.001,0.15,0.381,0.413
493,0.937,0,0,0,0.063
494,0.086,0,0.006,0.064,0.844
495,0.999,0,0,0,0.001
496,0.997,0,0,0.002,0.001
497,0.97,0,0,0,0.03
498,0.006,0,0,0,0.994
499,0.255,0,0,0,0.745
500,0.019,0,0.04,0.466,0.475
501,0.788,0,0,0.194,0.018
502,0.997,0,0,0.003,0
503,0.897,0,0,0.091,0.012
504,0.768,0,0,0.206,0.026
505,0.953,0,0,0.043,0.004
506,0.285,0,0,0.691,0.024
507,0.999,0,0,0.001,0
508,0.477,0,0,0.522,0.001
509,0.976,0,0,0.015,0.009
510,0.988,0,0,0,0.012
511,0.047,0,0,0,0.953
512,0.068,0,0.002,0.003,0.927
513,0.938,0,0,0.034,0.028
514,0.072,0,0.115,0.368,0.445
515,0.493,0,0,0.482,0.025
516,0.994,0,0,0.002,0.004
517,0.964,0,0,0,0.036
518,0.936,0,0,0.002,0.062
519,0.592,0,0,0.35,0.058
520,0.076,0,0.004,0.153,0.767
521,0.906,0,0,0.064,0.03
522,0.019,0,0,0,0.981
523,0.989,0,0,0,0.011
524,0.697,0,0,0,0.303
525,0.321,0,0,0,0.679
526,0.959,0,0,0,0.041
527,0.019,0,0,0,0.981
528,0.592,0,0,0.399,0.009
529,0.474,0,0.011,0.486,0.029
530,0.36,0,0,0.638,0.002
531,0.967,0,0,0.026,0.007
532,0.199,0,0.035,0.752,0.014
533,0.968,0,0,0,0.032
534,0.983,0,0,0.016,0.001
535,0.05,0,0,0,0.95
536,0.416,0,0,0.561,0.023
537,0.996,0,0,0,0.004
538,0.994,0,0,0,0.006
539,0.836,0,0.032,0.028,0.104
540,0.613,0,0,0,0.387
541,0.127,0,0,0,0.873
542,0.028,0,0.023,0.181,0.768
543,0.043,0,0,0,0.957
544,0.838,0,0.022,0.123,0.017
545,0.277,0,0,0.023,0.7
546,0.072,0,0.001,0.67,0.257
547,0.97,0,0,0,0.03
548,0.787,0,0,0,0.213
549,0.008,0,0.067,0.785,0.14
550,0.005,0,0.199,0.467,0.329
551,0.706,0,0,0.011,0.283
552,0.997,0,0,0,0.003
553,0.924,0,0,0,0.076
554,1,0,0,0,0
555,0.096,0,0.052,0.091,0.761
556,0.988,0,0,0.001,0.011
557,0.063,0,0.054,0.218,0.665
558,0.754,0,0,0,0.246
559,0.339,0,0.006,0.622,0.033
560,0.768,0,0,0.206,0.026
561,0.255,0,0,0,0.745
562,0.982,0,0,0.004,0.014
563,0.631,0,0.001,0.288,0.08
564,0.917,0,0.009,0.013,0.061
565,0.041,0,0,0,0.959
566,0.658,0,0,0.341,0.001
567,0.178,0,0,0.822,0
568,0.076,0,0.003,0.004,0.917
569,0.981,0,0,0.015,0.004
570,0.978,0,0,0.022,0
571,0.997,0,0,0,0.003
572,0.255,0,0,0,0.745
573,0.91,0,0,0.076,0.014
574,0.031,0,0.004,0.15,0.815
575,0.35,0,0.001,0.613,0.036
576,0.942,0,0,0,0.058
577,0.011,0,0.003,0,0.986
578,0.343,0,0,0,0.657
579,0.152,0,0.001,0.842,0.005
580,0.04,0,0,0,0.96
581,0.068,0,0.181,0.48,0.271
582,0.066,0,0,0,0.934
583,0.031,0,0,0,0.969
584,0.942,0,0,0,0.058
585,0.937,0,0,0,0.063
586,0.697,0,0,0,0.303
587,0.968,0,0,0.012,0.02
588,0.033,0,0,0,0.967
589,0.825,0,0,0.126,0.049
590,0.033,0,0,0,0.967
591,0.951,0,0,0,0.049
592,0.959,0,0,0,0.041
593,0.987,0,0,0.005,0.008
594,0.137,0,0.004,0.854,0.005
595,0.067,0,0,0,0.933
596,0.943,0,0,0.056,0.001
597,0.005,0,0,0,0.995
598,0.997,0,0,0,0.003
599,0.982,0,0,0.017,0.001
600,0.599,0,0,0.001,0.4
601,0.998,0,0,0,0.002
602,0.989,0,0,0.011,0
603,0.383,0,0,0.615,0.002
604,0.97,0,0,0,0.03
605,0.003,0,0.001,0.001,0.995
606,0.959,0,0,0,0.041
607,0.05,0,0,0,0.95
608,0.951,0,0,0,0.049
609,0.654,0,0,0.346,0
610,0.937,0,0,0,0.063
611,0.892,0,0.001,0.087,0.02
612,0.127,0,0,0,0.873
613,0.461,0,0,0.539,0
614,0.261,0,0.195,0.131,0.413
615,0.959,0,0,0,0.041
616,0.318,0,0,0.678,0.004
617,0.499,0,0.039,0.225,0.237
618,0.021,0,0,0,0.979
619,0.924,0,0,0,0.076
620,0.937,0,0,0,0.063
621,0.987,0,0,0.003,0.01
622,0.996,0,0,0,0.004
623,0.983,0,0,0.016,0.001
624,0.323,0,0,0.597,0.08
625,0.992,0,0,0.005,0.003
626,0.674,0,0.001,0.255,0.07
627,0.976,0,0,0.015,0.009
628,0.002,0,0,0,0.998
629,0.932,0,0,0.061,0.007
630,0.995,0,0,0,0.005
631,0.067,0,0.627,0,0.306
632,0.948,0,0,0.052,0
633,0.721,0,0,0,0.279
634,0.081,0.023,0.026,0.006,0.864
635,0.924,0,0,0,0.076
636,0.942,0,0,0,0.058
637,0.169,0,0,0.012,0.819
638,0.061,0,0,0,0.939
639,0.117,0,0,0.001,0.882
640,0.243,0,0.001,0.725,0.031
641,0.075,0,0.006,0.193,0.726
642,0.964,0,0,0.01,0.026
643,0.962,0,0.001,0.031,0.006
644,0.942,0,0,0,0.058
645,0.06,0,0.001,0.023,0.916
646,0.703,0,0,0.097,0.2
647,0.06,0,0.034,0.131,0.775
648,0.612,0,0.002,0.331,0.055
649,0.982,0,0,0.017,0.001
650,0.042,0,0.05,0.113,0.795
651,0.764,0,0,0.147,0.089
652,0.021,0,0,0,0.979
653,0.498,0,0.011,0.469,0.022
654,0.423,0,0,0.577,0
655,0.302,0,0,0.688,0.01
656,0.11,0,0,0.889,0.001
657,0.087,0,0.021,0.411,0.481
658,0.041,0,0,0,0.959
659,0.869,0,0,0.1,0.031
660,0.05,0,0,0,0.95
661,0.79,0,0,0.122,0.088
662,0.95,0,0,0.044,0.006
663,0.125,0,0,0.874,0.001
664,0.598,0,0,0.401,0.001
665,0.019,0,0.025,0.846,0.11
666,0.001,0,0,0,0.999
667,0.305,0,0,0,0.695
668,0.057,0.003,0.032,0.066,0.842
669,0.989,0,0,0.011,0
670,0.05,0,0,0,0.95
671,0.097,0,0,0.902,0.001
672,0.942,0,0,0,0.058
673,0.951,0,0,0,0.049
674,0.074,0.002,0.007,0.041,0.876
675,0.968,0,0,0.012,0.02
676,0.959,0,0,0,0.041
677,0.49,0,0,0.002,0.508
678,0.49,0,0,0.002,0.508
679,0.621,0,0,0.057,0.322
680,0.996,0,0,0,0.004
681,0.006,0,0,0,0.994
682,0.04,0,0,0,0.96
683,0.981,0,0,0.012,0.007
684,0.599,0,0,0.385,0.016
685,0.387,0,0,0,0.613
686,0.948,0,0,0,0.052
687,0.11,0,0,0.889,0.001
688,0.342,0,0,0.644,0.014
689,0.241,0,0.001,0.647,0.111
690,0.83,0,0,0.151,0.019
691,0.075,0,0.011,0.908,0.006
692,0.436,0,0.001,0.549,0.014
693,0.057,0.002,0.001,0.033,0.907
694,0.001,0,0,0,0.999
695,0.768,0,0.001,0.201,0.03
696,0.988,0,0,0.008,0.004
697,0.031,0,0,0,0.969
698,0.364,0,0,0.634,0.002
699,0.962,0,0,0.033,0.005
700,0.646,0,0.005,0.343,0.006
701,0.924,0,0,0,0.076
702,0.985,0,0,0.01,0.005
703,0.213,0,0,0.783,0.004
704,0.023,0,0.121,0.723,0.133
705,0.953,0,0,0.043,0.004
706,0.924,0,0,0,0.076
707,0.001,0,0,0,0.999
708,0.658,0,0,0.34,0.002
709,0.937,0,0,0,0.063
710,0.93,0,0,0.062,0.008
711,0.959,0,0,0,0.041
712,0.122,0,0,0,0.878
713,0.983,0,0,0.004,0.013
714,0.071,0,0.002,0.073,0.854
715,0.68,0,0,0.312,0.008
716,0.937,0,0,0,0.063
717,0.948,0,0,0,0.052
718,0.999,0,0,0.001,0
719,0.325,0,0.002,0.623,0.05
720,0.997,0,0,0,0.003
721,0.942,0,0,0,0.058
722,0.997,0,0,0,0.003
723,0.066,0,0,0,0.934
724,0.93,0,0,0.047,0.023
725,0.959,0,0,0,0.041
726,0.766,0,0,0.233,0.001
727,0.067,0,0,0,0.933
728,0.973,0,0,0,0.027
729,0.951,0,0,0,0.049
730,0.948,0,0,0.01,0.042
731,0.936,0,0,0,0.064
732,0.966,0,0,0.028,0.006
733,0.852,0,0,0.038,0.11
734,0.038,0,0,0.028,0.934
735,0.031,0,0,0,0.969
736,0.97,0,0,0,0.03
737,0.066,0,0,0,0.934
738,0.721,0,0,0,0.279
739,0.957,0,0,0.03,0.013
740,0.679,0,0,0.311,0.01
741,0.937,0,0,0,0.063
742,0.997,0,0,0.002,0.001
743,0.05,0,0,0,0.95
744,0.83,0,0,0.078,0.092
745,0.953,0,0,0.043,0.004
746,0.478,0,0.015,0.494,0.013
747,0.009,0,0.066,0.705,0.22
748,0.039,0,0,0,0.961
749,0.216,0,0.001,0.746,0.037
750,0.643,0,0,0,0.357
751,0.948,0,0,0.01,0.042
752,0.189,0,0.001,0.611,0.199
753,0.427,0,0.008,0,0.565
754,0.996,0,0,0,0.004
755,0.144,0,0,0.85,0.006
756,0.292,0,0.014,0.609,0.085
757,0.048,0,0,0,0.952
758,0.996,0,0,0.001,0.003
759,0.371,0,0.026,0.586,0.017
760,0.005,0,0,0,0.995
761,0.835,0,0.002,0.071,0.092
762,0.601,0,0,0.385,0.014
763,0.972,0,0,0,0.028
764,0.959,0,0,0,0.041
765,0.951,0,0.012,0.007,0.03
766,0.166,0,0,0.83,0.004
767,0.951,0,0,0,0.049
768,0.961,0,0,0,0.039
769,0.137,0,0,0,0.863
770,0.493,0,0,0.506,0.001
771,0.04,0,0,0,0.96
772,0.952,0,0.001,0.015,0.032
773,0.924,0,0,0,0.076
774,0.004,0,0.007,0,0.989
775,0.998,0,0,0,0.002
776,0.112,0,0,0.887,0.001
777,0.447,0,0,0.551,0.002
778,0.807,0,0.002,0.041,0.15
779,0.849,0,0,0.005,0.146
780,0.758,0,0,0.229,0.013
781,0.896,0,0.014,0.072,0.018
782,0.031,0,0,0,0.969
783,0.42,0,0.002,0.576,0.002
784,0.787,0,0,0,0.213
785,0.043,0.002,0.006,0.001,0.948
786,0.066,0.002,0.11,0.292,0.53
787,0.501,0,0.003,0.491,0.005
788,0.047,0,0,0,0.953
789,0.959,0,0,0,0.041
790,0.566,0,0,0.429,0.005
791,0.302,0,0,0.008,0.69
792,0.951,0,0,0,0.049
793,0.054,0,0.046,0.002,0.898
794,0.373,0,0,0.599,0.028
